tool,source,organism,reference_target,reference_target_type,index_prefix
hisat2,wormbase,c_elegans,genomic,genome,hisat2-wormbase-genomic
hisat2,wormbase,c_elegans,mRNA_transcripts,transcriptome,hisat2-wormbase-mRNA_transcripts
hisat2,wormbase,c_elegans,ncRNA_transcripts,transcriptome,hisat2-wormbase-ncRNA_transcripts
hisat2,wormbase,c_elegans,pseudogenic_transcripts,transcriptome,hisat2-wormbase-pseudogenic_transcripts
hisat2,wormbase,c_elegans,transcriptome_joined,transcriptome,hisat2-wormbase-transcriptome_joined
hisat2,wormbase,b_malayi,genomic,genome,hisat2-wormbase-genomic
hisat2,wormbase,b_malayi,mRNA_transcripts,transcriptome,hisat2-wormbase-mRNA_transcripts
hisat2,wormbase,b_malayi,ncRNA_transcripts,transcriptome,hisat2-wormbase-ncRNA_transcripts
hisat2,wormbase,b_malayi,pseudogenic_transcripts,transcriptome,hisat2-wormbase-pseudogenic_transcripts
hisat2,wormbase,b_malayi,transcriptome_joined,transcriptome,hisat2-wormbase-transcriptome_joined
hisat2,wormbase,c_briggsae,genomic,genome,hisat2-wormbase-genomic
hisat2,wormbase,c_briggsae,mRNA_transcripts,transcriptome,hisat2-wormbase-mRNA_transcripts
hisat2,wormbase,c_briggsae,ncRNA_transcripts,transcriptome,hisat2-wormbase-ncRNA_transcripts
hisat2,wormbase,c_briggsae,pseudogenic_transcripts,transcriptome,hisat2-wormbase-pseudogenic_transcripts
hisat2,wormbase,c_briggsae,transcriptome_joined,transcriptome,hisat2-wormbase-transcriptome_joined
hisat2,wormbase,c_brenneri,genomic,genome,hisat2-wormbase-genomic
hisat2,wormbase,c_brenneri,mRNA_transcripts,transcriptome,hisat2-wormbase-mRNA_transcripts
hisat2,wormbase,c_brenneri,ncRNA_transcripts,transcriptome,hisat2-wormbase-ncRNA_transcripts
hisat2,wormbase,c_brenneri,pseudogenic_transcripts,transcriptome,hisat2-wormbase-pseudogenic_transcripts
hisat2,wormbase,c_brenneri,transcriptome_joined,transcriptome,hisat2-wormbase-transcriptome_joined
hisat2,wormbase,c_japonica,genomic,genome,hisat2-wormbase-genomic
hisat2,wormbase,c_japonica,mRNA_transcripts,transcriptome,hisat2-wormbase-mRNA_transcripts
hisat2,wormbase,c_japonica,ncRNA_transcripts,transcriptome,hisat2-wormbase-ncRNA_transcripts
hisat2,wormbase,c_japonica,pseudogenic_transcripts,transcriptome,hisat2-wormbase-pseudogenic_transcripts
hisat2,wormbase,c_japonica,transcriptome_joined,transcriptome,hisat2-wormbase-transcriptome_joined
hisat2,wormbase,c_remanei,genomic,genome,hisat2-wormbase-genomic
hisat2,wormbase,c_remanei,mRNA_transcripts,transcriptome,hisat2-wormbase-mRNA_transcripts
hisat2,wormbase,c_remanei,ncRNA_transcripts,transcriptome,hisat2-wormbase-ncRNA_transcripts
hisat2,wormbase,c_remanei,pseudogenic_transcripts,transcriptome,hisat2-wormbase-pseudogenic_transcripts
hisat2,wormbase,c_remanei,transcriptome_joined,transcriptome,hisat2-wormbase-transcriptome_joined
hisat2,wormbase,o_volvulus,genomic,genome,hisat2-wormbase-genomic
hisat2,wormbase,o_volvulus,mRNA_transcripts,transcriptome,hisat2-wormbase-mRNA_transcripts
hisat2,wormbase,o_volvulus,ncRNA_transcripts,transcriptome,hisat2-wormbase-ncRNA_transcripts
hisat2,wormbase,o_volvulus,pseudogenic_transcripts,transcriptome,hisat2-wormbase-pseudogenic_transcripts
hisat2,wormbase,o_volvulus,transcriptome_joined,transcriptome,hisat2-wormbase-transcriptome_joined
hisat2,wormbase,p_pacificus,genomic,genome,hisat2-wormbase-genomic
hisat2,wormbase,p_pacificus,mRNA_transcripts,transcriptome,hisat2-wormbase-mRNA_transcripts
hisat2,wormbase,p_pacificus,ncRNA_transcripts,transcriptome,hisat2-wormbase-ncRNA_transcripts
hisat2,wormbase,p_pacificus,pseudogenic_transcripts,transcriptome,hisat2-wormbase-pseudogenic_transcripts
hisat2,wormbase,p_pacificus,transcriptome_joined,transcriptome,hisat2-wormbase-transcriptome_joined
hisat2,wormbase,s_ratti,genomic,genome,hisat2-wormbase-genomic
hisat2,wormbase,s_ratti,mRNA_transcripts,transcriptome,hisat2-wormbase-mRNA_transcripts
hisat2,wormbase,s_ratti,ncRNA_transcripts,transcriptome,hisat2-wormbase-ncRNA_transcripts
hisat2,wormbase,s_ratti,pseudogenic_transcripts,transcriptome,hisat2-wormbase-pseudogenic_transcripts
hisat2,wormbase,s_ratti,transcriptome_joined,transcriptome,hisat2-wormbase-transcriptome_joined
